"receptor_id";"emitter_id";"receptor_name";"emitter_name"
"2";"10";"Twitter";"Antara News"
"1";"100";"HealthMap";"The Himalayan Times"
"1";"101";"HealthMap";"The Tribune"
"55";"102";"MENAFN";"UAE Environmental Ministry"
"3";"103";"OIE";"UAE Vet Auth"
"1";"104";"HealthMap";"United News of India"
"3";"105";"OIE";"US Vet Auth"
"57";"106";"WGME";"USA National Oceanic and Atmospheric Administration"
"58";"107";"VnExpress International";"Vietnam Vet Auth"
"3";"107";"OIE";"Vietnam Vet Auth"
"54";"108";"The Star Online";"Whatsapp"
"37";"11";"Today.ng";"News Agency of Nigeria"
"35";"11";"Daily Trust";"News Agency of Nigeria"
"36";"11";"Pulse.ng";"News Agency of Nigeria"
"1";"12";"HealthMap";"Taiwan News"
"1";"13";"HealthMap";"Shine News"
"1";"14";"HealthMap";"Channel NewsAsia"
"26";"15";"Zeenews";"India Vet Auth"
"18";"15";"Times of India";"India Vet Auth"
"28";"15";"Fisheries and Animal Ressources Developpment Department";"India Vet Auth"
"27";"15";"ProMED";"India Vet Auth"
"19";"15";"FluTrackers";"India Vet Auth"
"1";"16";"HealthMap";"Hindustantimes"
"19";"17";"FluTrackers";"HindiNews"
"1";"18";"HealthMap";"Times of India"
"20";"18";"Crofsblog";"Times of India"
"2";"19";"Twitter";"FluTrackers"
"1";"2";"HealthMap";"Twitter"
"2";"20";"Twitter";"Crofsblog"
"1";"21";"HealthMap";"Odisha Bytes"
"1";"22";"HealthMap";"Down To Earth Magazine"
"1";"23";"HealthMap";"VietnamNews"
"1";"24";"HealthMap";"The Indian Tribune"
"2";"25";"Twitter";"Avian Flu Diary"
"1";"26";"HealthMap";"Zeenews"
"1";"27";"HealthMap";"ProMED"
"21";"28";"Odisha Bytes";"Fisheries and Animal Ressources Developpment Department"
"20";"28";"Crofsblog";"Fisheries and Animal Ressources Developpment Department"
"22";"28";"Down To Earth Magazine";"Fisheries and Animal Ressources Developpment Department"
"1";"29";"HealthMap";"Yonhap News"
"1";"3";"HealthMap";"OIE"
"6";"3";"Reuters";"OIE"
"27";"3";"ProMED";"OIE"
"31";"3";"Xinhua";"OIE"
